timestamp,temperature,voltage,altitude,signal
00:00:00,21.0,3.71,501,0.90
00:00:01,21.1,3.72,504,0.90
00:00:02,21.5,3.73,505,0.91
00:00:03,9999,3.73,505,0.90
00:00:04,21.5,3.75,509,0.89
00:00:05,21.6,3.75,510,0.89
00:00:06,21.8,3.77,508,0.88
00:00:07,21.7,3.75,511,0.87
00:00:08,21.8,ERROR,512,0.86
00:00:09,21.9,3.76,513,0.87
00:00:10,22.0,3.75,512,0.87
00:00:11,21.8,3.74,513,0.87
00:00:12,22.0,3.74,99999,0.86
00:00:13,22.1,3.73,518,0.84
00:00:14,21.9,3.72,515,0.85
00:00:15,21.8,3.72,518,0.85
00:00:16,21.9,3.72,519,0.84
00:00:17,21.8,3.70,519,0.83
00:00:18,MISSING,3.69,521,0.84
00:00:19,21.7,3.67,517,0.83
00:00:20,21.5,3.67,518,0.82
00:00:21,21.5,3.66,518,0.83
00:00:22,21.5,3.67,518,0.81
00:00:23,21.5,3.66,520,0.81
00:00:24,21.2,3.66,520,0.82
00:00:25,21.0,3.66,521,?
00:00:26,21.2,3.66,519,0.81
00:00:27,21.0,3.67,518,0.82
00:00:28,20.9,3.69,517,0.81
00:00:29,20.7,3.68,517,0.81
00:00:30,20.8,3.69,518,0.81
00:00:31,20.6,9999,519,0.81
00:00:32,20.5,3.73,519,0.81
00:00:33,20.6,3.72,519,0.81
00:00:34,20.5,3.74,518,0.81
00:00:35,20.3,3.74,515,0.80
00:00:36,20.4,3.75,518,0.81
00:00:37,20.3,3.75,515,0.81
00:00:38,20.3,3.75,518,0.82
00:00:39,20.4,3.77,514,0.82
00:00:40,null,3.75,515,0.82
00:00:41,20.5,3.76,517,0.82
00:00:42,20.5,3.74,517,0.82
00:00:43,20.6,3.74,515,0.83
00:00:44,20.6,3.74,515,0.84
00:00:45,20.7,3.73,517,0.83
00:00:46,20.6,3.72,518,0.84
00:00:47,20.8,3.72,ERROR,0.84
00:00:48,21.1,3.70,516,0.84
00:00:49,21.0,3.69,517,0.85
00:00:50,21.3,3.67,520,0.86
00:00:51,21.3,3.67,520,0.84
00:00:52,21.4,3.67,522,0.86
00:00:53,21.4,3.67,523,0.87
00:00:54,21.4,3.66,522,0.86
00:00:55,21.7,3.66,525,9999
00:00:56,21.7,3.67,526,0.88
00:00:57,21.6,3.66,526,0.89
00:00:58,21.7,3.67,528,0.89
00:00:59,21.8,3.68,528,0.89
00:01:00,21.9,3.67,529,0.90
00:01:01,21.8,3.70,531,0.90
00:01:02,22.0,3.70,534,0.90
00:01:03,,3.71,532,0.91
00:01:04,22.0,3.73,535,0.91
00:01:05,22.1,3.72,537,0.90
00:01:06,21.8,3.74,536,0.89
00:01:07,21.8,3.75,540,0.88
00:01:08,21.8,3.76,542,0.88
00:01:09,21.6,3.76,543,0.88
00:01:10,21.5,3.77,540,0.88
00:01:11,21.7,?,543,0.87
00:01:12,21.5,3.75,545,0.87
00:01:13,21.3,3.75,545,0.87
00:01:14,21.2,3.74,545,0.85
00:01:15,21.1,3.74,547,0.85
00:01:16,21.2,3.73,549,0.86
00:01:17,21.0,3.72,547,0.85
00:01:18,20.9,3.72,548,0.84
00:01:19,20.7,3.71,548,0.83
00:01:20,20.7,3.70,99999,0.83
00:01:21,20.6,3.68,549,0.83
00:01:22,20.5,3.68,550,0.82
00:01:23,20.5,3.67,553,0.82
00:01:24,20.4,3.67,550,0.82
00:01:25,20.5,3.66,550,0.82
00:01:26,20.3,3.67,549,0.83
00:01:27,20.4,3.66,552,0.82
00:01:28,20.4,3.66,553,ERROR
00:01:29,20.5,3.67,552,0.81
00:01:30,20.3,3.68,549,0.80
00:01:31,20.4,3.67,551,0.81
00:01:32,20.5,3.68,548,0.81
00:01:33,20.6,3.69,548,0.80
00:01:34,20.4,3.70,550,0.81
00:01:35,20.8,3.73,548,0.82
00:01:36,20.8,3.73,551,0.82
00:01:37,9999,3.74,549,0.82
00:01:38,20.9,3.74,549,0.81
00:01:39,21.0,3.75,546,0.81
00:01:40,21.2,3.75,548,0.82
00:01:41,21.1,3.76,546,0.82
00:01:42,21.2,3.76,547,0.81
00:01:43,21.2,3.76,546,0.82
00:01:44,21.3,3.75,548,0.82
00:01:45,21.5,null,548,0.83
00:01:46,21.7,3.75,550,0.82
00:01:47,21.8,3.74,549,0.82
00:01:48,21.7,3.73,546,0.84
00:01:49,22.0,3.72,547,0.84
00:01:50,22.0,3.71,550,0.83
00:01:51,21.9,3.71,550,0.83
00:01:52,21.8,3.69,552,0.84
00:01:53,22.0,3.69,,0.85
00:01:54,22.1,3.68,550,0.85
00:01:55,22.0,3.67,554,0.86
00:01:56,22.0,3.67,552,0.86
00:01:57,21.8,3.66,555,0.87
00:01:58,21.7,3.66,556,0.86
00:01:59,21.7,3.67,558,0.87
00:02:00,21.7,3.66,559,0.88
00:02:01,21.7,3.66,558,0.88
00:02:02,21.6,3.69,562,MISSING
00:02:03,21.4,3.69,562,0.90
00:02:04,21.2,3.69,561,0.91
00:02:05,21.3,3.71,566,0.91
00:02:06,21.2,3.71,566,0.91
00:02:07,21.0,3.72,565,0.91
00:02:08,20.9,3.73,567,0.90
00:02:09,20.7,3.75,571,0.90
00:02:10,ERROR,3.74,570,0.89
00:02:11,20.7,3.75,571,0.87
00:02:12,20.6,3.76,571,0.88
00:02:13,20.4,3.76,573,0.87
00:02:14,20.6,3.76,574,0.86
00:02:15,20.4,3.76,578,0.86
00:02:16,20.5,3.76,579,0.87
00:02:17,20.4,3.76,577,0.86
00:02:18,20.3,9999,577,0.85
00:02:19,20.4,3.72,578,0.84
00:02:20,20.5,3.72,581,0.84
00:02:21,20.3,3.72,582,0.84
00:02:22,20.5,3.70,582,0.85
00:02:23,20.3,3.69,582,0.84
00:02:24,20.6,3.69,583,0.83
00:02:25,20.7,3.68,?,0.82
00:02:26,20.8,3.67,581,0.83
00:02:27,20.8,3.66,582,0.83
00:02:28,20.8,3.66,582,0.83
00:02:29,21.0,3.67,582,0.83
