time,signal
0,3.292
1,0.704
2,0.916
3,-1.257
4,0.789
5,0.870
6,0.864
7,0.958
8,0.879
9,0.942
10,1.011
11,1.030
12,0.896
13,1.058
14,0.775
15,1.023
16,1.049
17,0.877
18,1.010
19,1.045
20,0.940
21,1.064
22,1.013
23,0.950
24,0.887
25,0.890
26,0.941
27,1.010
28,0.904
29,0.821
30,0.882
31,0.933
32,0.961
33,0.851
34,0.979
35,0.998
36,0.796
37,3.487
38,0.893
39,0.768
40,0.975
41,0.894
42,0.713
43,0.929
44,0.730
45,0.801
46,0.802
47,0.903
48,0.895
49,0.780
50,0.701
51,0.842
52,0.630
53,0.839
54,0.726
55,0.711
56,-1.365
57,0.657
58,0.598
59,0.717
60,0.694
61,0.638
62,0.600
63,0.765
64,0.804
65,0.604
66,0.688
67,0.541
68,0.558
69,0.656
70,0.526
71,0.654
72,0.657
73,0.693
74,3.146
75,0.763
76,0.668
77,0.563
78,0.673
79,0.546
80,0.786
81,0.776
82,0.745
83,0.683
84,0.687
85,0.639
86,0.575
87,0.844
88,0.620
89,0.724
90,0.756
91,1.090
92,0.285
93,1.187
94,0.922
95,0.940
96,0.993
97,0.545
98,0.569
99,0.681
100,0.501
101,0.394
102,0.598
103,1.434
104,0.575
105,0.771
106,1.362
107,1.110
108,1.297
109,-1.448
110,0.649
111,3.346
112,0.932
113,1.068
114,0.849
115,1.009
116,0.916
117,0.954
118,0.946
119,0.824
120,0.828
121,0.996
122,0.874
123,1.074
124,0.971
125,1.041
126,0.962
127,0.869
128,0.949
129,1.010
130,1.036
131,0.947
132,0.907
133,0.857
134,0.991
135,0.923
136,0.983
137,0.983
138,0.736
139,0.736
140,0.879
141,0.690
142,0.926
143,0.769
144,0.867
145,0.849
146,0.858
147,0.821
148,3.385
149,0.810
150,0.796
151,0.819
152,0.620
153,0.561
154,0.620
155,0.565
156,0.721
157,0.701
158,0.532
159,0.782
160,0.518
161,0.689
162,-1.251
163,0.516
164,0.510
165,0.632
166,0.633
167,0.704
168,0.509
169,0.791
170,0.604
171,0.649
172,0.617
173,0.788
174,0.691
175,0.565
176,0.625
177,0.739
178,0.742
179,0.738
180,0.636
181,0.629
182,0.708
183,0.751
184,0.639
185,3.280
186,0.668
187,0.849
188,0.694
189,0.706
190,0.911
191,0.924
192,0.741
193,0.813
194,0.802
195,0.907
196,0.820
197,1.018
198,0.976
199,0.807
