packet_id,timestamp,date,time,latitude,longitude,altitude,speed,battery,temperature,signal_strength,confidence
1,2026-01-01T00:00:00Z,2026-01-01,00:00:00,28.5547,-80.638,408.57,7.66,94.88,22.23,0.95,1
?,2026-01-01T00:00:01Z,2026-01-01,00:00:01,28.5792,-80.6291,406.73,7.688,94.74,23.6,0.898,0.989
3,2026-01-01T00:00:02Z,2026-01-01,00:00:02,28.5892,-80.6199,407.76,7.653,94.65,22.51,0.82,0.972
4,2026-01-01T00:00:03Z,2026-01-01,00:00:03,28.5965,-80.613,407.6,7.632,94.51,23.41,0.882,0.975
5,2026-01-01T00:00:04Z,2026-01-01,00:00:04,28.5833,-80.6009,408.24,7.616,94.52,25.01,0.885,0.976
6,2026-01-01T00:00:05Z,2026-01-01,00:00:05,ERROR,-80.5945,408.36,7.564,94.47,,0.913,
7,2026-01-01T00:00:06Z,2026-01-01,00:00:06,28.6266,-80.5884,408.43,7.675,94.36,22.78,0.853,0.979
8,2026-01-01T00:00:07Z,2026-01-01,00:00:07,28.6329,-80.5829,407.68,7.691,94.34,21.26,0.928,0.974
9,2026-01-01T00:00:08Z,2026-01-01,00:00:08,ERROR,-80.5731,408.72,7.596,94.16,MISSING,0.949,
10,2026-01-01T00:00:09Z,2026-01-01,00:00:09,28.6216,-80.5648,407.93,7.647,94.14,22.83,0.882,0.991
11,2026-01-01T00:00:10Z,2026-01-01,00:00:10,28.6397,-80.5592,408.01,7.691,94.11,,0.905,0.952
12,2026-01-01T00:00:11Z,2026-01-01,00:00:11,28.6343,-80.5499,407.95,7.659,94.16,23.9,0.857,1
13,2026-01-01T00:00:12Z,ERROR,00:00:12,28.6276,-80.5415,409.08,7.642,93.96,27.08,0.893,0.916
14,2026-01-01T00:00:13Z,2026-01-01,00:00:13,28.6451,-80.5331,408.09,7.604,93.87,24.21,0.896,0.93
15,2026-01-01T00:00:14Z,2026-01-01,00:00:14,28.6476,-80.525,407.67,7.654,93.72,23.84,0.864,0.996
16,2026-01-01T00:00:15Z,2026-01-01,00:00:15,28.6405,-80.5163,407.46,7.713,93.65,26.57,0.897,1
17,2026-01-01T00:00:16Z,2026-01-01,00:00:16,28.6262,-80.5087,408,7.652,93.5,25.93,0.861,1
18,2026-01-01T00:00:17Z,2026-01-01,00:00:17,28.6334,-80.5043,408.58,7.65,93.46,26.4,0.908,0.943
19,2026-01-01T00:00:18Z,2026-01-01,00:00:18,28.6329,-80.4971,407.82,7.63,93.4,26.93,0.94,0.928
20,2026-01-01T00:00:19Z,2026-01-01,00:00:19,28.6458,-80.4914,406.26,7.633,93.25,29.53,0.885,1
21,2026-01-01T00:00:20Z,2026-01-01,00:00:20,28.6414,-80.4817,408.71,7.653,93.14,28.7,0.857,0.996
22,2026-01-01T00:00:21Z,2026-01-01,00:00:21,28.6311,-80.4757,407.23,7.559,92.97,30.11,0.901,1
23,2026-01-01T00:00:22Z,2026-01-01,00:00:22,28.6367,-80.4694,407.42,7.712,92.95,32.62,0.861,1
24,2026-01-01T00:00:23Z,2026-01-01,00:00:23,28.6534,-80.4611,407.7,7.635,92.85,29.29,0.825,0.947
25,2026-01-01T00:00:24Z,2026-01-01,00:00:24,28.6535,-80.4527,408.02,7.683,92.83,30.35,0.865,0.933
26,2026-01-01T00:00:25Z,2026-01-01,00:00:25,28.6456,-80.4427,408.11,7.698,92.81,30.25,0.897,0.952
